path,added_lines,deleted_lines,sha256,category,review_basis,findings
.gitignore,35,0,e62307f2e7137c7c9969e0fc119d810465406795950dfa31dc3b81aeecb46a88,repository support,Diff inspected; no simulated timing effect identified,none found within inspected scope
README.md,20,0,66ae76de3c817e472c2229cc868e9b45fdadd0c69c36edb7614e9800559d39a1,documentation,"Cross-read definitions, current source and session decisions",R01-R14; obsolete claims
audit/2026-09-05/PIM_TIMING_PROVENANCE.md,110,0,8f8d730d5644ca90020c2e7f3b11b1a8b5ce1c650e1e66af2efa2e1f751c2ede,historical audit,Historical evidence retained; not current passing proof,old-status mapping
audit/2026-09-05/REPORT.md,261,0,0745c75f27cb96b4eb311a0a6eb05fd9e8ae57531e3543b6e688c686c1b1c03a,historical audit,Historical evidence retained; not current passing proof,old-status mapping
audit/2026-09-05/evidence.json,1285,0,809270bb89a43e45b02850a9f2a6ee0109ad1cee36325481d6d51e7d87c2fffa,historical audit,Historical evidence retained; not current passing proof,old-status mapping
audit/2026-09-05/manifest.json,646,0,b4d535ff81156914111323b5bcdc99e0c9f858c014bfe3bb9047bff2f43dcbcd,historical audit,Historical evidence retained; not current passing proof,old-status mapping
audit/2026-09-05/pim_provenance.json,181,0,0dda329ce9355b4b0c76dce98b2bc59457028b2bbb60c7a2351641b18e63f9ff,historical audit,Historical evidence retained; not current passing proof,old-status mapping
audit/2026-09-05/pim_provenance.py,122,0,a2e22f1023888ccd8f1e3d62f1fe322ef36885ae0d112f759c5f3bfa9c3c4d54,historical audit,Historical evidence retained; not current passing proof,old-status mapping
audit/2026-09-05/reproduce.py,215,0,abcd52f7bbe33ac16d4f105626e8489e43f496da73e61d6ed7574acee3c7e9b1,historical audit,Historical evidence retained; not current passing proof,old-status mapping
audit/2026-09-05/unittest.log,19,0,2ec4c4917e33f76a850b4bb17cda10a7906e19e8e0cf900d7eab12d5d9b72683,historical audit,Historical evidence retained; not current passing proof,old-status mapping
audit/2026-09-05/unittest_attacc_metadata.log,31,0,d298d2da453c28c084ecb1b916fdae08073cf7f1a0186c24972cee9c05e35616,historical audit,Historical evidence retained; not current passing proof,old-status mapping
docs/README.md,76,0,67b709f9dd9514752c30d19cdaed2fcbf9e264b65f6e6a0b23fe0c6bfea11bba,documentation,"Cross-read definitions, current source and session decisions",R01-R14; obsolete claims
docs/README_audit_fixes.md,214,0,d9d722cf125336664019eb386955d934945baa47c8cca42a5517149344472337,documentation,"Cross-read definitions, current source and session decisions",R01-R14; obsolete claims
docs/README_design_ladder.md,221,0,850571f6f357a2f2f05425641242b30bd2747b8938c2f70f99a81e7946b66d19,documentation,"Cross-read definitions, current source and session decisions",R01-R14; obsolete claims
docs/README_run_guide.md,118,0,2ddf19b296b6992776f96160914c86ef700725f4ae6466c196147f8f09eed9fb,documentation,"Cross-read definitions, current source and session decisions",R01-R14; obsolete claims
docs/sessions/2026-09-05-attacc-accounting-and-rotation.md,201,0,2f09ee8f855673e288c636f125b4237f4330e7f5c086839fff7ca03f5d9d8fb7,documentation,"Cross-read definitions, current source and session decisions",R01-R14; obsolete claims
docs/sessions/2026-09-05-ladder-fixes-f01-f02-f04.md,260,0,675f593f8cc2c642c575bce522030dd1d65dadb26e8d078965f3b883217c0a67,documentation,"Cross-read definitions, current source and session decisions",R01-R14; obsolete claims
docs/sessions/README.md,18,0,250bb02342bc8d2592ec1545e30c396f9e10219581f984290baa85b08909ce71,documentation,"Cross-read definitions, current source and session decisions",R01-R14; obsolete claims
experiments/collect_dag_ladder.py,167,0,5bbb8f12e70d929f7ca06d1f2053a8536849758519bd0342686eb7470cb9da8a,experiment orchestration,"Reviewed actual arguments, collection, queue/guard and reuse rules; not launched",R02 R10 R14
experiments/mem_guard.sh,59,0,8ffc238fdb843d3e419e2d1d59c87e4c450027a5d7ebd7874800bdc9a7911117,experiment orchestration,"Reviewed actual arguments, collection, queue/guard and reuse rules; not launched",R02 R10 R14
experiments/run_after_queue.sh,17,0,f2d37816c6f86b3119dc3c30045b345236fed2c103f2ced534d05beb1304ab76,experiment orchestration,"Reviewed actual arguments, collection, queue/guard and reuse rules; not launched",R02 R10 R14
experiments/run_dag_ladder.sh,102,0,dbf1e3722fbe5288113691ac4b00ed996cd7d5062c8f78f82070ecca0264bb57,experiment orchestration,"Reviewed actual arguments, collection, queue/guard and reuse rules; not launched",R02 R10 R14
experiments/run_layout_handcheck.sh,89,0,52a900bc0ccedcc39a83906cc9854ac71f884de6778d02de0dc9eb1c5b64f29d,experiment orchestration,"Reviewed actual arguments, collection, queue/guard and reuse rules; not launched",R02 R10 R14
experiments/run_queue.sh,28,0,b17ac3cfcf36652d709b823358f38d3ade8d531f3398528c17fd1122630e0d0a,experiment orchestration,"Reviewed actual arguments, collection, queue/guard and reuse rules; not launched",R02 R10 R14
experiments/run_sweep.sh,54,0,cbb8a8bc8381ce8aea738ca7338736f859b7dcdb46d5ca70e338b761883ecbc3,experiment orchestration,"Reviewed actual arguments, collection, queue/guard and reuse rules; not launched",R02 R10 R14
experiments/summarize_ladder.py,83,0,0a26703e0e25c5a9ce006498d143df2bd45d6f215aa11b4cfb52e4f8350f7ba0,experiment orchestration,"Reviewed actual arguments, collection, queue/guard and reuse rules; not launched",R02 R10 R14
main.py,519,13,a7a61db7115b94eea7f027e69537a8c669557ec886cb038581c313b3da718890,planner/layout/DAG,Main review + independent agent; bounded fake-device structural probes,R01-R10 R13 R14
output/analysis/diff_gather_effect.py,186,0,220442870d39220d5f0929406dd39c4a26fb63cec8220d90efd2a2430bf9c511,analysis/handchecks,"Reviewed rung lists, placement rules and metrics; old tables not recomputed",R03 R14; historical layout not current proof
output/analysis/extract_sweep_csv.py,575,0,bc5f9e343fb642f7b96d7cfad9e68e5220f59e5f1a9fe582a21e484df30e308e,analysis/handchecks,"Reviewed rung lists, placement rules and metrics; old tables not recomputed",R03 R14; historical layout not current proof
output/analysis/layout_A3b_R8.csv,5,0,24e88bdce79dcb13bc4bc896c7891798376a5ec18d35628504c0922eb8f41b91,analysis/handchecks,"Reviewed rung lists, placement rules and metrics; old tables not recomputed",R03 R14; historical layout not current proof
output/analysis/layout_A4c_R8.csv,4,0,ff8ddef58fdcb41b4d344e7bb00d288365dbee1aa72b7308b276ed1107f6e72c,analysis/handchecks,"Reviewed rung lists, placement rules and metrics; old tables not recomputed",R03 R14; historical layout not current proof
output/analysis/layout_grid_csv.py,178,0,3917d9f10657de78f8e3575e6eb1ddd5e8bac11f18caf45ed56ae6b8ab0b9fcf,analysis/handchecks,"Reviewed rung lists, placement rules and metrics; old tables not recomputed",R03 R14; historical layout not current proof
output/analysis/layout_handcheck_report.py,152,0,88e27dfe06d05f5c78b28e0a51620633a70b3438f303e8cdd5b34603c4f06138,analysis/handchecks,"Reviewed rung lists, placement rules and metrics; old tables not recomputed",R03 R14; historical layout not current proof
output/analysis/layout_handcheck_theory.py,174,0,3b8e34f150055fb87b0b531747ee61b4a98b7e37f295a6100e7d81704e82c83f,analysis/handchecks,"Reviewed rung lists, placement rules and metrics; old tables not recomputed",R03 R14; historical layout not current proof
output/analysis/layout_interleave_csv.py,191,0,5b2ff68c037f557d17148b109f39d0e646314aca2359348c46899250a46da106,analysis/handchecks,"Reviewed rung lists, placement rules and metrics; old tables not recomputed",R03 R14; historical layout not current proof
pim_ramulator_src/HBM3-PIM.cpp,7,0,bb51f4ef25325e3ed1a538f0db46dc3b79dd0aabf603ace894a9d4a48d16dce1,hardware/cost model,Diff against AttAcc + model provenance agent + primary call-site review,R04 R08 R11 R12
pim_ramulator_src/hbm3_pim_controller.cpp,16,0,b5d993b33c061b33858724fbeefdefcbc81cdce89c6f7f41cff08e1aa37824ee,hardware/cost model,Diff against AttAcc + model provenance agent + primary call-site review,R04 R08 R11 R12
pim_ramulator_src/trace_gen/gen_trace_attacc_bank.py,353,42,e92eed2ad4e92376ae7fa9143ebabc878e68c5d28b5546b47d536915511310c0,hardware/cost model,Diff against AttAcc + model provenance agent + primary call-site review,R04 R08 R11 R12
src/ablation.py,1402,0,9bae34304ebd7c831c3653cc6802ed3650d8ea65e5932f47f796e2b7338303ef,planner/layout/DAG,Main review + independent agent; bounded fake-device structural probes,R01-R10 R13 R14
src/config.py,129,7,28ee9b707c22b35a80d77ea38d5211cff19bb09092c8323396d6e14eef1fc571,hardware/cost model,Diff against AttAcc + model provenance agent + primary call-site review,R04 R08 R11 R12
src/cpp_eventcore.py,132,0,2bd115c501c001a9b48f26b9a2ee2779238a3651f55c0bdfcb409cc89315f8c6,native scheduler,Resource mapping/dependency and ABI reviewed; no rebuild,R01 R05
src/cppcore/Makefile,13,0,7d608923a5a58702653f01a5e161738275bed2c7dc125546dd6dc4fe4c2855da,native scheduler,Resource mapping/dependency and ABI reviewed; no rebuild,R01 R05
src/cppcore/eventcore.cpp,173,0,ca586d6f2cceff30e2654f9f0cfe2562654f681b63ed05c0516cd4b6ca3aab8e,native scheduler,Resource mapping/dependency and ABI reviewed; no rebuild,R01 R05
src/devices.py,166,1,6352639f46e13a9898c01624f7a4fcbaf7433a6a65dc4ca97b4bbefb4e9daa82,hardware/cost model,Diff against AttAcc + model provenance agent + primary call-site review,R04 R08 R11 R12
src/gemm_table.py,187,0,307319093e33c728e99f120d8e7330f4845a590e26b3f3f0b186c35cab211253,hardware/cost model,Diff against AttAcc + model provenance agent + primary call-site review,R04 R08 R11 R12
src/layout_probe.py,245,0,6ff276f858b0dbaff03a5273fcf08f13883be606c84fcb1034e49b430722f335,diagnostic hook,Read dump schema and call sites; no timing mutation identified,Reported geometry follows model assumptions
src/model.py,2,0,ab1c1a7a9d7a734c1715c1108559908f730dc9a68775acda3e00ef2945629ff3,hardware/cost model,Diff against AttAcc + model provenance agent + primary call-site review,R04 R08 R11 R12
src/ramulator_wrapper.py,591,69,ae01e4b17ea3b34dbabb96c56a01c47848c3a20d4b6cc328adb79e642a4f6799,hardware/cost model,Diff against AttAcc + model provenance agent + primary call-site review,R04 R08 R11 R12
src/system.py,91,63,4847e22e78aabea4d55c9b5bb3a18966f31553b8b9ba556d6ca1d272a6420369,hardware/cost model,Diff against AttAcc + model provenance agent + primary call-site review,R04 R08 R11 R12
src/workload.py,617,0,03ee783500bcdc092d7cfa23f527c869a95262e49c55926a1ebff16f8e209fca,planner/layout/DAG,Main review + independent agent; bounded fake-device structural probes,R01-R10 R13 R14
src/workload_runner.py,5067,0,fa01bde17a86aeaf3faa4e2f35044f2f0d3e3a88bb3a41d91fb5a4f2613ea856,planner/layout/DAG,Main review + independent agent; bounded fake-device structural probes,R01-R10 R13 R14
tests/fixtures/workload_2wikimqa_first8.json,378,0,1c9f30abfa5ae4ec29a23f9b16c151779fb488c92efdb3e2eb2de81486096d8b,tests/fixtures,Coverage and relevant assertions read; no full suite rerun in this audit,Tests not independent physical/numeric proof
tests/fixtures/workload_relay_s400w4t1.json,142,0,25763b4abda14e33e21183de82da0748649bd96b17fdf846e9210d550826625b,tests/fixtures,Coverage and relevant assertions read; no full suite rerun in this audit,Tests not independent physical/numeric proof
tests/test_attacc_metadata.py,123,0,2f982235caf8c30778760e0eecfb0879ea0766724b67a985c8f83517512733d4,tests/fixtures,Coverage and relevant assertions read; no full suite rerun in this audit,Tests not independent physical/numeric proof
tests/test_placement.py,916,0,6b4ddc3f072b73d5902f85c3ef647303775d6ca4332777c89e945fd1138ea94c,tests/fixtures,Coverage and relevant assertions read; no full suite rerun in this audit,Tests not independent physical/numeric proof
tests/test_workload.py,1689,0,d0ec3906d43c0d5346e60d8432f2d5d0ea9d0f53f827f61c2bf06082f5b706b4,tests/fixtures,Coverage and relevant assertions read; no full suite rerun in this audit,Tests not independent physical/numeric proof
workload/probe/README.md,19,0,bf0dad28e48ce888544de72fe47c6a6ec0b62267961b0cb4b787af4fab76cffb,workload generator/manifest,"Generator logic, defaults and 42-file manifest reviewed",R02 R09 R10
workload/probe/gen_a6.py,63,0,da63af04c66edb2bfc7941fa721904d82caa300be99117a93ad3d657cf5e377e,workload generator/manifest,"Generator logic, defaults and 42-file manifest reviewed",R02 R09 R10
workload/probe/gen_a6_chat_mix.py,51,0,014f807444270e00380a69a2e79816ebc55596786beecf24de2b6972b315ccf7,workload generator/manifest,"Generator logic, defaults and 42-file manifest reviewed",R02 R09 R10
workload/probe/gen_multiround.py,109,0,ca2f4d16809fb76a520be3b3b08e635a58efcdf4d6460b869e79d3c242edee4e,workload generator/manifest,"Generator logic, defaults and 42-file manifest reviewed",R02 R09 R10
workload/probe/gen_sweep.py,186,0,dbdb47c2eb59fe6bd571a0c46cdc48c14f6924220f744ee3903bf843f1d266a3,workload generator/manifest,"Generator logic, defaults and 42-file manifest reviewed",R02 R09 R10
workload/probe/sweep/B0_interleaved.json,1424,0,858a5191c17da7400b4c9e46b77ac62928df5785099db24d4686816d4bcb82c4,workload data,Sweep: parsed all 42 plans/layout metadata; other probes: generator/data inspected,R02 R09 R10
